Seq No.,Location,AccX,AccY,AccZ,Classs
18,Kidnapping,2.451999903,9.039999962,-3.523999929,1
19,Kidnapping,1.378999949,8.274000168,-3.063999891,1
20,Kidnapping,2.144999981,8.887000084,0.765999973,1
21,Kidnapping,-1.991000056,10.72599983,3.371000051,1
22,Kidnapping,-1.531000018,9.194000244,2.144999981,1
23,Kidnapping,-2.756999969,6.742000103,2.605000019,1
24,Kidnapping,-7.201000214,5.209000111,-1.838000059,1
25,Kidnapping,-8.119999886,6.589000225,2.144999981,1
26,Kidnapping,-6.127999783,8.734000206,3.217999935,1
27,Kidnapping,-3.677000046,7.507999897,4.902999878,1
28,Kidnapping,-3.217000008,7.047999859,9.347000122,1
29,Kidnapping,-6.127999783,7.047999859,5.975999832,1
30,Kidnapping,-3.369999886,8.12100029,7.507999897,1
31,Kidnapping,-1.531000018,8.581000328,7.967999935,1
32,Kidnapping,-0.917999983,7.202000141,8.42800045,1
33,Kidnapping,0.765999973,3.523999929,8.274000168,1
34,Kidnapping,-1.225000024,2.757999897,8.42800045,1
35,Kidnapping,-0.611999989,7.202000141,6.43599987,1
36,Kidnapping,-0.764999986,5.515999794,5.210000038,1
37,Kidnapping,-0.917999983,8.887000084,9.5,1
38,Kidnapping,1.225999951,6.894999981,8.734000206,1
39,Kidnapping,0.91900003,6.589000225,6.129000187,1
40,Kidnapping,2.757999897,8.427000046,0.458999991,1
41,Kidnapping,5.670000076,8.427000046,5.362999916,1
42,Kidnapping,2.451999903,7.202000141,5.210000038,1
43,Kidnapping,4.443999767,7.202000141,0.765999973,1
44,Kidnapping,7.202000141,5.515999794,-6.129000187,1
45,Kidnapping,2.605000019,9.80700016,-3.98300004,1
46,Kidnapping,5.210000038,6.894999981,-1.684999943,1
47,Kidnapping,3.83100009,7.660999775,-6.434999943,1
48,Kidnapping,4.902999878,7.047999859,-3.829999924,1
49,Kidnapping,3.523999929,7.967999935,-0.611999989,1
50,Kidnapping,3.217999935,9.652999878,-0.458999991,1
1,Kidnapping,0.612999976,6.434999943,7.507999897,1
2,Kidnapping,0.460000008,6.589000225,7.202000141,1
3,Kidnapping,1.225999951,6.589000225,8.274000168,1
4,Kidnapping,3.523999929,7.202000141,3.371000051,1
5,Kidnapping,4.597000122,6.742000103,7.815000057,1
6,Kidnapping,-0.152999997,1.684999943,8.42800045,1
7,Kidnapping,-4.289999962,0.458999991,7.202000141,1
8,Kidnapping,-0.611999989,0.91900003,10.42000008,1
9,Kidnapping,1.838999987,0,12.87100029,1
10,Kidnapping,3.523999929,1.225000024,10.87899971,1
11,Kidnapping,3.677999973,1.072000027,10.72599983,1
12,Kidnapping,2.757999897,0.765999973,9.80700016,1
13,Kidnapping,1.68599999,1.531999946,9.347000122,1
14,Kidnapping,2.451999903,1.684999943,7.967999935,1
15,Kidnapping,2.757999897,1.378999949,8.12100029,1
16,Kidnapping,-0.152999997,-1.225000024,9.654000282,1
17,Kidnapping,-0.152999997,-1.225000024,11.33899975,1
18,Kidnapping,1.838999987,-2.144999981,10.42000008,1
19,Kidnapping,-0.917999983,-1.378999949,8.42800045,1
